date,time,link,title,description,keywords,locations,base_location,weather,politics,accident,economics,health,score,intensity
04-08-2023,08:47:59,https://www.indiatoday.in/india/story/meenakshi-lekhi-slams-opposition-ed-raid-homes-parliament-monsoon-session-delhi-services-bill-2416076-2023-08-04?utm_source=rss,Tumhare ghar na ED aa jaaye': Row over Union Minister's remark in Parliament,ListenBy India Today News Desk Union Minister Meenakshi Lekhi Thursday warned Opposition maintain silence discussion Delhi services bill Lok Sabha else Enforcement Directorate ED may arrive homesEk minute ek minute Shaant raho tumhare ghar ED na aa jaaye One minute Keep quiet else ED may arrive home Lekhi said response Opposition member interrupted speaking House Lekhis comments House gone well OppositionNationalist Congress Party NCP spokesperson Clyde Crasto said Lekhis insinuating threat Lok Sabha proved Oppositions allegations government misusing central agencies insinuating threat given Meenakshi Lekhi heat moment Lok Sabha proves many saying Misuse central agencies said tweetIndian Youth Congress president Srinivas BV questioned whether Lekhis remarks Lok Sabha warning threat warning threat wrote X formerly Twitter handleTrinamool Congress TMC spokesperson Saket Gokhale described Lekhis ED comments Parliament shocking said ministers openly threatening use ED Opposition leaders Today shockingly Union Minister Meenakshi Lekhi threatened Opposition Parliament said Keep quiet ED may arrive home BJP Ministers openly threaten use ED Opposition speaking Parliament vendetta isnt even hidden anymore Gokhale said tweetA leader Bharat Rashtra Samithi BRS headed Telangana Chief Minister K Chandrasekhar Rao termed Union Ministers remarks shameful Union Minister Meenakshi Lekhi threatened Opposition MPs Parliament BJP Ministers openly threaten use ED Opposition speaking Parliament Shameful BRS leader Enugu Bharath Reddy wrote X handleALSO Modi washing powder AAP lists leaders joined BJP fearing ED CBI actionALSO Setback Opposition SC rejects plea misuse central agencies Today shockingly Union Minister Meenakshi Lekhi threatened Opposition Parliament said Keep quiet ED may arrive home BJP Ministers openly threaten use ED Opposition speaking Parliament vendetta isnt even hidden anymore Gokhale said tweetA leader Bharat Rashtra Samithi BRS headed Telangana Chief Minister K Chandrasekhar Rao termed Union Ministers remarks shameful,heat house parliament minute k setback shameful reddy use many moment silence keep youth bill member misuse news shocking opposition threat threaten desk government directorate powder today quiet discussion twitter maintain aa president minister interrupted x congress union vendetta party chief home response leader arrive else enforcement plea central,Telangana India Delhi,Telangana,1,1,0,0,0,-0.9954,high
04-08-2023,08:26:58,https://www.indiatoday.in/india/story/nuh-top-cop-varun-singla-transferred-after-communal-clashes-2416072-2023-08-04?utm_source=rss,"Senior Haryana cop transferred, was on leave during Nuh communal clashes",ListenBy Satender Chauhan Varun Singla senior police officer Nuh Haryana leave deadly communal clashes broke Vishwa Hindu Parishad VHP rally killed six people transferred Late Thursday night Superintendent Police Varun Singla posted Bhiwani IPS officer Narendra Bijarniya acting SP since violence started replaced Varun SinglaThe order said Narendra Bijarniya SP Bhiwani also functioning OSD Additional DGP law order addition present duties assist maintaining law order situation Nuh surrounding areas transferred posted SP NuhThe rioting Haryana sparked religious procession taken VHP Bajrang Dal Nuh incident started series communal flareups Gurugram Sohna areasAs many six people including two home guards cleric died clashes erupted Nuh attempt stop VHP procession violence soon spread Gurugram Sohna Manesar districts mob going rampage burning various shops establishments leading huge losses Various police cars private vehicles also torched violenceIn wake communal clashes state government suspended internet services clamped prohibitory orders several areasAccording police total 176 people arrested 78 taken preventive detention connection communal clashes Haryana Haryana government Wednesday sought four companies central forces arson vandalism continued GurugramAs per FIR filed police officer mob around 800900 men attacked Hindu rally began Shiv temple Nalhar India Today learnt strong mob chanted proPakistan slogans tried stop procession sticks stones illegal weapons intent kill FIR saidTHREEMEMBER COMMITTEE FORMEDMeanwhile Haryana government constituted committee monitor social media platforms prevent circulation provocative material including videos photographs hate speeches maintain law order communal harmony Haryanas Home Minister Anil Vij Wednesday said social media played significant role fuelling violence Nuh,situation procession committee prevent men violence total religious fir stop arson assist connection circulation private order provocative preventive rally many dal monitor anil senior attempt wake spread cleric detention learnt material medium kill law various communal temple police government strong present vandalism shiv significant officer stick today harmony prohibitory people rampage hate tried state superintendent social series minister transferred mob incident late home addition illegal role huge additional several central night,Haryana,Haryana,0,1,1,1,0,-0.993,high
04-08-2023,10:41:31,https://www.indiatoday.in/india/story/bittu-bajrangi-fir-registered-viral-video-nuh-haryana-violence-threatening-song-lyric-2416104-2023-08-04?utm_source=rss,FIR against cow vigilante Bittu Bajrangi over viral video with threatening lyrics,ListenBy Sreya Chatterjee first information report FIR registered Bittu Bajrangi selfproclaimed cow vigilante known divisive diatribes viral video seen saffron attire song threatening lyrics playing backgroundThe FIR lodged Dabua police station Haryanas Faridabad August 1 Tuesday day communal clashes broke NuhBittu Bajrangi earlier shared slowmotion video clip depicting walking saffron attire accompanied soundtrack featuring lyrics Goli pe goli chalengi baap toh baap rahega gunshots exchanged father remain fatherIn interview India Today Bittu Bajrangi part Vishva Hindu Parishad VHP procession attacked Nuh questioned viral video answered threatened saidHe gave version events unfolded violence engulfed districtLike every year also organised shobha yatra year yatra scheduled go Nuhs Nalhar Mahadev temple go areas Several women children elderly people across district joined us offered puja temple organised kirtanThere one way back cars started leave barely travelled 500 metres saw cars front set fire miscreants Bittu Bajrangi told India TodayAsked viral videos yatris seen carrying weapons Bittu Bajrangi claimed swords carried participants ritualsA people carrying weapons licensed swords carry used puja weddings rituals used murders saidHARYANA CLASHESOn July 31 Monday communal violence broke Nuh mob tried stop VHPs Brij Mandal Jalabhishek Yatra Stones pelted cars set fire violence spilling neighbouring Gurugram past daysMobs killed Muslim cleric Gurugram restaurants torched shops vandalised Six people killed violenceIncidents arson also reported Palwal Manesar Faridabad RewariProhibitory orders issued internet snapped affected districts due prevailing situation,year situation procession viral set carry violence fire fir stop day arson station video first saffron divisive august information way cleric due version communal temple report police song part elderly today interview people six front every puja district mob remain past several goli cow clip,India Gurugram,India,0,0,1,0,0,-0.9943,high
04-08-2023,08:49:49,https://www.indiatoday.in/india/story/parliament-monsoon-session-live-updates-rajya-sabha-lok-sabha-bills-tabled-manipur-issue-opposition-uproar-2416078-2023-08-04?utm_source=rss,"Opposition ruckus in Lok Sabha on Manipur issue, INDIA MPs meet at Kharge's office",Delhi Services Bill constitutional principle destroy federal structure country opposition parties opposing says CPIM MP Elamaram Kareem Delhi Services BillIf Data Protection bill money bill Presidents recommendation sought Article 117 says Congress leader Manish Tewarion Data Protection Bill tabled Lok Sabha yesterdayCongress MP Gaurav Gogoi speaks fresh clashes Manipur says Central state governments giving importance Manipur Thats security forces directionless thereOn Opposition Union Minister Anurag Thakur says Delhi Bill could put stance forward clear till Opposition worked eyewash people country wasted time money country decided first day discussion Manipur would happen Opposition running dont argument factsBJP issues threeline whip Lok Sabha MPs asks present House next week support Governments stand billsINDIA bloc leaders meet office LoP Rajya Sabha Mallikarjun Kharge Parliament HouseBRS MPs protest front Gandhi statue Parliament premises Manipur issue demand withdrawal Delhi Services BillOpposition MPs raise slogans demand PMs statement Manipur violence Lok SabhaAn elected government disempowered Delhi Services Bill nonelected people overpower elected government injustice people Delhi says Shiv Sena UBT MP Priyanka ChaturvediRJD MP Manoj Jha Congress MP Imran Pratapgarhi AAP MP Raghav Chandha give Suspension Business notices Rajya Sabha rule 267 discuss situation ManipurI respond notice per law Privilege notice brought many big leaders past feel proud joined list leaders AAP Rajya Sabha MP Raghav Chadha privilege notice moved BJPOn Union Home Minister Amit Shahs statement Lok Sabha Delhi Services Bill Congress leader K Suresh says show double standards Whenever want use Nehru Patel Ambedkar whenever dont want blaming political tactics BJPAfter days disruption Parliament Manipur issue government Opposition Thursday made attempts break deadlock discussing middle path find solution Parliament witnessed 11 days disruptions Opposition demanding discussion Manipur violence statement prime minister housesWith stalemate Parliament Manipur persisting Union ministers Piyush Goyal Pralhad Joshi reached Congress chief Mallikarjun Kharge Opposition leaders break logjam Rajya Sabha Rajya Sabha Chairman Jagdeep Dhankhar refers complaints related privilege House TMCs Derek OBrien AAPs Raghav Chadha privileges committee examinationDefence Minister Rajnath Singh move InterServices Organisations Command Control Discipline Bill 2023 Lok Sabha todayUnion Minister Dharmendra Pradhan move Indian Institutes Management Amendment Bill 2023 Lok Sabha todayCongress MPs Manish Tewari Manickam Tagore give Adjournment Motion notices Lok Sabha discuss border situation China Manipur issue respectively,singh first overpower support many principle bill law statement tabled eyewash respond people office protection lop front recommendation argument related leader protest data adjournment central constitutional raise fresh day destroy structure discipline statue thakur use control time business blaming article disruption present show demand solution clear minister list motion meet federal violence house parliament country k stalemate path china big government shiv tactic injustice suspension state notice thats union prime stance rule chief issue situation whip committee deadlock patel chairman border next dont security bloc feel money discus opposition political whenever directionless middle double management command congress joshi home importance amendment week privilege,Manipur Delhi China,Manipur,1,1,1,1,0,0.5911,moderate
04-08-2023,09:58:03,https://www.indiatoday.in/india/story/indigo-flight-emergency-landing-patna-airport-engine-failure-2416107-2023-08-04?utm_source=rss,Delhi-bound IndiGo flight makes emergency landing in Patna due to engine snag,ListenBy Aditya Vaibhav IndiGo flight flying Delhi forced make emergency landing Patna airport Friday one engines malfunctioned incident occurred three minutes flight took offThe flight landed safely around 911 Jay Prakash Narayan Airport PatnaAccording pilot assistance required,flight incident emergency make landing jay assistance pilot airport indigo,Patna Delhi,Patna,1,1,1,0,0,-0.34,moderate
04-08-2023,08:16:00,https://www.indiatoday.in/india/story/gyanvapi-premises-archaeological-survey-of-india-asi-survey-begins-allahabad-high-court-order-2416066-2023-08-04?utm_source=rss,"Survey underway at Gyanvapi premises amid tight security, Muslim side boycotts",ListenBy India Today News Desk team Archaeological Survey India ASI Friday morning arrived Gyanvapi mosque premises Uttar Pradeshs Varanasi scientific survey complex began nearly 7 amid tight security survey go till 12 noon undertaken 3 5 pm today development comes day Allahabad High Court Thursday allowed ASI conduct survey aims determine whether 17thcentury mosque constructed preexisting structure Hindu templeOnly people appointed district administration present premises ASI survey beganMeanwhile members Anjuman Intezamia Masjid committee boycotted surveySohanlal Arya Hindu side said previous survey several artifacts including sculptures Shiva Parvati statue Varaha boar avatar Vishnu bells tridents many pieces evidence found inside premises indicating site templeOn Thursday Allahabad High Court upheld Varanasi district court order ruled proposed step necessary interest justice benefit sidesThe order came Anjuman Intezamia Masjid committee representing Muslim side legal dispute moved Supreme Court Varanasi district court orderBJP leaders welcomed high court verdict saying truth temple site come,committee justice day structure complex team security benefit conduct statue order many site till interest previous archaeological administration supreme truth morning news development scientific noon temple desk necessary present step survey upheld high today tight people verdict side district evidence masjid mosque court legal dispute determine several,India Varanasi,Varanasi,0,1,0,1,0,0.9413,high
04-08-2023,07:34:39,https://www.indiatoday.in/world/story/donald-trump-slams-us-election-conspiracy-charges-very-sad-day-for-america-2416054-2023-08-04?utm_source=rss,'Sad day for America': Trump after not guilty plea in 2020 election 'lies' case,ListenBy India Today World Desk Slamming election conspiracy charges levelled Washington court former US President Donald Trump said victim political persecution pleaded guiltyThis sad day America Trump told reporters hearing boarding private plane return Bedminster New Jersey golf club persecution political opponentIf cant beat persecute prosecute cant let happen America former President saidTrump frontrunner 2024 Republican presidential nomination pleaded guilty Thursday charges orchestrated plot try overturn 2020 election lossThis third time Trump pleaded guilty since April arrested arraigned four felony counts outlined special counsel Jack Smiths indictment conspiracy defraud US conspiracy obstruct official proceeding obstruction attempt obstruct official proceeding conspiracy rights reported GuardianHe formally arrested E Barrett Prettyman federal courthouse blocks US CapitolAfter entering plea guilty Trump released condition would adhere federal state local laws avoid discussing case witnesses next hearing case set August 28Trumps legal woes far overThe former US President previously pleaded guilty federal charges retained classified documents leaving office New York state charges falsified documents connection hush money payments porn star,u republican set overturn courthouse day next connection world obstruction private persecute sad plane avoid presidential case election time nomination third guilty special attempt august conspiracy proceeding victim new e york felony money political try desk plot hush beat counsel persecution today official star state trump office jack condition golf defraud president former court jersey legal indictment prosecute cant local let plea federal,New York India US,US,0,1,0,0,0,-0.9926,high
04-08-2023,09:27:44,https://www.indiatoday.in/india/story/haryana-violence-update-firs-against-three-people-social-media-videos-police-scanner-nuh-gurugram-2416068-2023-08-04?utm_source=rss,"Nuh violence: FIR against 3 'influencers', 2,300 social media videos under cop lens",ListenBy Sreya Chatterjee Nuh police registered three FIRs three people inflammatory social media posts triggered violence district earlier weekThis came six people including two home guards cleric killed communal clashes erupted Nuh Monday attempt stop Vishva Hindu Parishad VHP procession spread Gurugram past daysOf 10 FIRs filed Nuh police three booked one Shahid Aadil Khan Mannaka social media account named Shayar Guru GhantalThese FIRs registered following complaints lodged Assistant SubInspector Suresh Kumar incharge Nuhs Cyber CellThe police yet reveal runs Shayar Guru Ghantal account inciteful posts videos uploadedAccording FIRs five posts uploaded Shahid one Aadil two Shayar Guru Ghantal accountOne accused Aadil allegedly posted songs social media indecent posts communally chargedThe respective sections FIRs filed include 153 153A 295A 298 504 109 292Close 2300 videos July 31 currently scanner police believe could fanned violence NuhOn Wednesday India Today reported inflammatory social media posts fuelled communal clashes HaryanaAn investigation India Todays Open Source Intelligence OSINT discovered troubling sequence unchecked aggression propagated social media led violence streets NuhThe violence later spilt neighbouring districts Gurugram Palwal FaridabadThese digital messages frequently accompanied vitriolic rhetoric songs directed specific communitiesFollowing report police lodged multiple FIRs unknown people spreading inciteful posts leading violence Nuh HARYANA COMMUNAL CLASHESThe violence started Nuh July 31 later spread Gurugram led death six people Incidents arson also reported Palwal Faridabad Gurugram districts close DelhiChief Minister Manohar Lal Khattar said 116 people arrested 90 detained far connection communal violence Nuh Anyone found responsible violence spared added,rhetoric procession digital violence anyone a stop guru open scanner indecent arson connection khan unchecked spilt sequence account respective attempt reveal cleric street assistant death medium responsible later communal subinspector multiple aggression investigation intelligence inflammatory police spreading today specific people social minister district source vitriolic home report unknown,India Gurugram,Gurugram,0,1,1,0,1,-0.9953,high
04-08-2023,10:39:32,https://www.indiatoday.in/india/story/train-shooting-accused-constables-wife-confirms-his-mental-instability-2416045-2023-08-04?utm_source=rss,"Exclusive: 'He's mentally ill,' claims wife of railway cop who killed 4 on train",ListenBy Saurabh Vaktania wife Railway Protection Force RPF constable accused JaipurMumbai train shooting incident told India Today husband mentally unfit treatment long time said would reach Mumbai Saturday relatives record police statementIn phone conversation India Today constable Chetan Singhs wife Renu said would regularly visit hospital Mathura treatment checkups cure mental illness Yes mentally ill also receiving treatment long time taking regular medicine going checkups hospital Mathura saidRenus statement came day Railways authorities claimed mental ailment detected accused constable Chetan Singhs last periodic medical examination withdrew hours laterALSO Train shooting Railways withdraws statement mental health accused copStating medical reports proof support claims Renu said reach Mumbai Saturday relatives plans recording police statement presenting medical papers proof husbands mental conditionChetans mental health started deteriorating accident wherein sustained brain injury years back relatives said clot brain fell affected mental balance said claimed already provided police officials medical proof Chetans mental imbalanceRPF constable Chetan Singh 33 shot dead senior colleague Tika Ram Meena three passengers aboard moving train near Palghar railway station Mumbai Monday arrested laterFollowing media reports claiming constable suffered abnormal hallucinations Ministry Railways statement said matter investigated statement withdrawn later evening,withdrawn singh colleague ailment day record station injury cure force yes treatment support told time medicine shot senior health ill balance hospital abnormal medium shooting evening visit statement last train police brain clot ram husband today medical ministry examination conversation protection phone accident wife mental constable dead incident periodic aboard unfit regular railway reach matter proof,Mumbai India Mathura,Mumbai,1,1,1,0,1,-0.9698,high
04-08-2023,08:09:35,https://www.indiatoday.in/india/story/rahul-gandhi-brings-jack-russell-terrier-puppy-from-goa-2416059-2023-08-04?utm_source=rss,Rahul Gandhi brings home Jack Russell Terrier puppy after Goa visit,ListenBy India Today News Desk Rahul Gandhi returned Delhi Goa brought threemonthold Jack Russell Terrier puppy Congress leader arrived Goa Wednesday night returned national capital Thursday morningShivani Pitre runs dog kennel Mapusa town North Goa along husband Stanley Braganca told PTI Gandhi left one puppy selected another one sent laterPitre said Gandhi sent representative earlier inquire puppy wanted see taking Rahul Gandhi brings Jack Russell Terrier puppy Goa Credits TwitterThe Congress leader arrived shelter Mapusa around 9 Thursday way Manohar International Airport Mopa North GoaPitre said Gandhi kennel short time left airport said Congress leader humble earthShe said time Gandhi busy playing dogs visit shelter homeGandhi met Congress leaders including Goa MLAs Goa Pradesh Congress committee president Amit Patkar Wednesday night hotel,inquire committee goa national kennel town north told time representative way capital hotel news dog terrier another puppy visit desk busy humble husband shelter today airport jack president congress leader international short night,India Goa,Goa,1,1,1,1,0,0.5106,moderate
